"cytoRiskIntermediate"	"cytoRiskPoor"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"RASA3|22821_calculated"	0.834735932877764	0.793850751768201	2.55953743937585	29.7558678532467	7.34397515583912e-12	1.04175068859531e-09
"GOLGA3|2802_calculated"	-0.387496470037246	-0.272082706425613	4.26341326684135	29.739384379508	7.43503855966289e-12	1.04724088895646e-09
"SSTR2|6752_calculated"	-0.604545167157951	-0.599420715687078	4.85103287618266	29.7166732223289	7.56238087993931e-12	1.05749820135445e-09
"SNORD114-2|767578_calculated"	-0.384308582460258	-0.402777757400704	2.2048736996113	29.7076461912758	7.61360636943356e-12	1.05749820135445e-09
"C11orf9|745_calculated"	-1.22436304147067	-1.27157567403255	2.20759410569091	29.6869356485217	7.73246223335812e-12	1.06659984227169e-09
"NUP210|23225_calculated"	0.875615206752785	0.938414586921722	5.80038092076003	29.6615740513926	7.88056951705478e-12	1.07958404733296e-09
"SNORD114-20|767598_calculated"	-0.318266280950026	-0.341184368411038	7.23082004921975	29.5802350387308	8.37521622149317e-12	1.13656358766446e-09
"SLC35C2|51006_calculated"	-0.680486586541897	-0.669782147520212	6.14323110182435	29.5746755704612	8.41015004121495e-12	1.13656358766446e-09
"PXK|54899_calculated"	-0.900009486256482	-0.801016493529305	5.11919299421063	29.5227170783152	8.74384981155075e-12	1.17372979920018e-09
"HTR7|3363_calculated"	0.756665064651038	0.391739588616485	2.14220659854209	29.4987029268686	8.90257329714668e-12	1.18706912344154e-09
"ZMIZ1|57178_calculated"	0.835703356890734	1.00908743750527	7.19188890082776	29.2502423796	1.07261669329485e-11	1.42075539619803e-09
"HS3ST3B1|9953_calculated"	-0.86136660458671	-0.722295924527346	2.26100263645397	29.2036889908817	1.11077745246009e-11	1.46162235701672e-09
"RNF135|84282_calculated"	0.0116933612026316	-0.687414952570536	5.09905385966827	29.060403912836	1.23707091460037e-11	1.61716701718444e-09
"PAFAH2|5051_calculated"	-0.442569188111518	-0.509559731870139	5.88076820831789	29.0175985991559	1.2775477239291e-11	1.65923584586402e-09
"C17orf69|147081_calculated"	0.390168026806696	0.88577344367958	5.46422528592348	28.9944824340081	1.29996078165067e-11	1.67745261895452e-09
"C21orf70|85395_calculated"	0.482461154660458	0.791946686626994	2.12652893656206	28.8357253744841	1.46502089517932e-11	1.8783258284924e-09
"SMAGP|57228_calculated"	-0.595879370969374	0.13151845489963	2.89365165719174	28.7885618739604	1.51802828485504e-11	1.93389068314559e-09
"CUX1|1523_calculated"	-0.10868831771031	-0.516015810692498	5.10268068667092	28.759495061719	1.55165863423678e-11	1.96422305970695e-09
"RDM1|201299_calculated"	0.327338200095623	0.271810291232637	2.25709433842225	28.6615742668073	1.67059951301968e-11	2.10148810439665e-09
"HOXB7|3217_calculated"	0.899238729609071	0.0767344243414105	4.84888108281303	28.598909077167	1.75151501576911e-11	2.18950323939987e-09
"ECM1|1893_calculated"	-1.32759025956641	-1.1221198041452	2.17888430551394	28.5379852754946	1.83398226443777e-11	2.27761231059247e-09
"TPSAB1|7177_calculated"	-2.50400010423987	-2.01625692480351	2.41011757058913	28.5302186696626	1.84477373289326e-11	2.27761231059247e-09
"SNORD113-4|767564_calculated"	-0.605075428741277	-0.584786749623883	2.11413912927274	28.5129273286689	1.86903076858251e-11	2.29340395106864e-09
"SLC13A5|284111_calculated"	-0.461432842165999	-0.493030506294141	2.52877546119724	28.4626968449494	1.94134180238915e-11	2.36760837741374e-09
"MPO|4353_calculated"	-4.17898567914129	-3.87923940544317	5.67820505493709	28.4452071237219	1.96717849758753e-11	2.38457800789383e-09
"ENG|2022_calculated"	1.06981997798317	1.50123697357585	2.12693281382517	28.3365583499066	2.13565830540229e-11	2.57321094978019e-09
"IL7|3574_calculated"	0.330471957660587	1.10824602309036	2.48398645576294	28.1649372849821	2.43204857988894e-11	2.91277866145861e-09
"LEP|3952_calculated"	-0.574595395381627	-0.604406836801579	2.83667769117849	28.1450340996424	2.46901161312277e-11	2.93358735679604e-09
"TPM4|7171_calculated"	-1.12381291023691	-0.686824883224139	5.55181378949233	28.1398365695226	2.47875737862372e-11	2.93358735679604e-09
"CCDC136|64753_calculated"	0.714275289295473	0.50079309637897	6.16237735977127	28.1071154706919	2.54101181115159e-11	2.98957513146135e-09
"ZNF229|7772_calculated"	-0.00275754515259533	0.709006901955301	2.13299933273392	28.064767700145	2.62393582644286e-11	3.06908423770079e-09
"LUC7L2|51631_calculated"	-0.0622927485265643	-0.525970758937308	2.35833614888274	27.9791500099766	2.80004807982535e-11	3.25603265375505e-09
"SNORD114-17|767595_calculated"	-0.277929904742652	-0.314702358291522	5.9982783018281	27.9467637015885	2.86974081087957e-11	3.31778531551458e-09
"GALNTL4|374378_calculated"	-0.0682699533427174	0.329780508850716	2.11529397056665	27.9145294863212	2.94084865772038e-11	3.38045482776238e-09
"S100P|6286_calculated"	-2.1890727379976	-1.55706225707985	4.64263486625817	27.8803772948776	3.01813316311738e-11	3.4494675083149e-09
"ANAPC16|119504_calculated"	0.46593518560332	0.392465290017254	6.57311362248695	27.7872510328297	3.23947513400158e-11	3.68140580427078e-09
"PHKA1|5255_calculated"	0.332645268220648	0.830673825771264	2.1180796816042	27.7168874284832	3.41754693944211e-11	3.86182804156958e-09
"PLS1|5357_calculated"	0.719023197414027	0.783591443713972	6.6271068019222	27.6074373618103	3.71442809065324e-11	4.17372338433457e-09
"C13orf15|28984_calculated"	-1.54776163019449	-1.48932044502216	4.90376516826491	27.5692573110612	3.8240184899491e-11	4.2728599898029e-09
"PRKRIP1|79706_calculated"	-0.0375199072551777	-0.444140589690802	4.71502392828206	27.5336876277759	3.92905750240937e-11	4.36583772809388e-09
"LTB4R|1241_calculated"	0.985118881333676	0.574236186640799	2.11694954526669	27.4774716419868	4.1010503105563e-11	4.53177388184733e-09
"KHDC1|80759_calculated"	0.261397566600161	0.323754520122102	6.91024321966961	27.4407043366776	4.21763954453602e-11	4.63500046869588e-09
"PDIA3|2923_calculated"	-0.565380424302403	-0.745817614054089	2.43099945079922	27.3860165077864	4.39728710012578e-11	4.80601854041616e-09
"C11orf63|79864_calculated"	0.49396139691377	0.706804674151624	2.19254941455086	27.3141958660222	4.64502937854095e-11	5.02759251252212e-09
"TBX1|6899_calculated"	-0.696763719014456	-1.03547630015068	2.53835086297985	27.3127130022749	4.65029055955498e-11	5.02759251252212e-09
"ARHGAP4|393_calculated"	1.36831465261861	1.22976523798918	2.12502655600508	27.2509983041863	4.87468321639776e-11	5.24185693608449e-09
"COPG2|26958_calculated"	-0.197330314501173	-0.758204722087316	6.86337483237535	27.2228798568454	4.98052227873924e-11	5.32702813353281e-09
"ADCY7|113_calculated"	1.06297801621661	0.962058136769763	2.1150083567956	27.0993659845125	5.473667573831e-11	5.82334176298903e-09
"HNMT|3176_calculated"	1.21339177819201	0.819254796657075	2.12572321953209	27.0476689673722	5.69447369784867e-11	6.0261993878662e-09
"ACSL5|51703_calculated"	0.418765556621267	0.579056093264696	6.33011683653712	26.9742018756108	6.02385695064166e-11	6.34121909840968e-09
"REEP5|7905_calculated"	-1.00115828350956	-0.829803014358079	3.78490213988495	26.7929657275332	6.92126918509185e-11	7.24776465816869e-09
"SIX3|6496_calculated"	-1.94305839025801	-2.02509231765356	2.12251300316228	26.7803001854552	6.98882373746905e-11	7.28038872776659e-09
"ZDHHC4|55146_calculated"	0.00938110596411679	-0.395718561512275	2.15973287481142	26.6753051305392	7.57515174617576e-11	7.85029067747468e-09
"ZNF655|79027_calculated"	-0.0575676495412022	-0.572055786896699	6.07342975660757	26.6320830455597	7.8307512257832e-11	8.07334305499432e-09
"HOXB4|3214_calculated"	2.04726054934353	0.704965073931962	3.63119853554131	26.6021219415325	8.01303289086907e-11	8.21890619744986e-09
"PTGR1|22949_calculated"	-0.788003868202109	-0.215934933633076	3.70949186434486	26.5758711366028	8.17626581380424e-11	8.34354553785197e-09
"LSP1|4046_calculated"	1.81328725830336	2.0009482656647	2.1151938362312	26.5603763806145	8.27418964148077e-11	8.40061253904858e-09
